Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,47,T1,safe_unidirectional,best,4869.09,5542.69
Detached,47,T1,hybrid_bidirectional,worst,4024.59,8063.63
Detached,47,T1,hybrid_bidirectional,best,3883.02,8019.97
Detached,48,T1,safe_unidirectional,worst,4747.23,5432.58
Detached,48,T1,safe_unidirectional,best,4661.04,5432.58
Detached,48,T1,hybrid_bidirectional,worst,3782.46,7785.29
Detached,48,T1,hybrid_bidirectional,best,3591.14,7694.02
Detached,49,T1,safe_unidirectional,worst,5048.75,5754.2
Detached,49,T1,safe_unidirectional,best,4961.64,5754.2
Detached,49,T1,hybrid_bidirectional,worst,3923.93,7776.37
Detached,49,T1,hybrid_bidirectional,best,3803.85,7780.07
Detached,50,T1,safe_unidirectional,worst,5479.56,6168.3
Detached,50,T1,safe_unidirectional,best,5399.44,6168.3
Detached,50,T1,hybrid_bidirectional,worst,4153.85,8500.78
Detached,50,T1,hybrid_bidirectional,best,4102.22,8578.23
Detached,51,T1,safe_unidirectional,worst,5097.38,5672.14
Detached,51,T1,safe_unidirectional,best,5014.17,5672.14
Detached,51,T1,hybrid_bidirectional,worst,3986.98,8113.65
Detached,51,T1,hybrid_bidirectional,best,3918.51,8140.53
Detached,52,T1,safe_unidirectional,worst,5293.32,5968.75
Detached,52,T1,safe_unidirectional,best,5169.84,5968.75
Detached,52,T1,hybrid_bidirectional,worst,4098.71,8439.37
Detached,52,T1,hybrid_bidirectional,best,4042.65,8518.3
Detached,53,T1,safe_unidirectional,worst,5564.4,6346.1
Detached,53,T1,safe_unidirectional,best,5474.1,6346.1
Detached,53,T1,hybrid_bidirectional,worst,4336.77,8711.88
Detached,53,T1,hybrid_bidirectional,best,4139.29,8607.29
Detached,54,T1,safe_unidirectional,worst,5284.78,5895.29
Detached,54,T1,safe_unidirectional,best,5232.47,5895.29
Detached,54,T1,hybrid_bidirectional,worst,3954.16,8434.23
Detached,54,T1,hybrid_bidirectional,best,3880.84,8426.58
Detached,55,T1,safe_unidirectional,worst,5081.39,5744.07
Detached,55,T1,safe_unidirectional,best,4977.38,5744.07
Detached,55,T1,hybrid_bidirectional,worst,3795.05,7997.13
Detached,55,T1,hybrid_bidirectional,best,3699.01,8017.11
Detached,56,T1,safe_unidirectional,worst,5127.27,5835.53
Detached,56,T1,safe_unidirectional,best,5037.66,5835.53
Detached,56,T1,hybrid_bidirectional,worst,3836.41,8152.23
Detached,56,T1,hybrid_bidirectional,best,3781.39,8203.04
Detached,57,T1,safe_unidirectional,worst,5013.08,5772.14
Detached,57,T1,safe_unidirectional,best,4912.57,5772.14
Detached,57,T1,hybrid_bidirectional,worst,3979.12,8056.52
Detached,57,T1,hybrid_bidirectional,best,3724.07,7939.85
Detached,58,T1,safe_unidirectional,worst,5267.85,5898.66
Detached,58,T1,safe_unidirectional,best,5186.25,5898.66
Detached,58,T1,hybrid_bidirectional,worst,4090.33,8204.5
Detached,58,T1,hybrid_bidirectional,best,3959.92,8171.45
Detached,59,T1,safe_unidirectional,worst,5403.99,6058.66
Detached,59,T1,safe_unidirectional,best,5308.27,6058.66
Detached,59,T1,hybrid_bidirectional,worst,4110.73,8405.45
Detached,59,T1,hybrid_bidirectional,best,3992.18,8398.3
Detached,1,T1,safe_unidirectional,worst,5383.64,6041.36
Detached,1,T1,safe_unidirectional,best,5302.26,6041.36
Detached,1,T1,hybrid_bidirectional,worst,4269.53,8418.73
Detached,1,T1,hybrid_bidirectional,best,4049.4,8326.97
Detached,2,T1,safe_unidirectional,worst,5662.27,6267.66
Detached,2,T1,safe_unidirectional,best,5574.68,6267.66
Detached,2,T1,hybrid_bidirectional,worst,4490.06,8764.67
Detached,2,T1,hybrid_bidirectional,best,4407.94,8778.48
Detached,3,T1,safe_unidirectional,worst,5988.87,6710.37
Detached,3,T1,safe_unidirectional,best,5893.53,6710.37
Detached,3,T1,hybrid_bidirectional,worst,4588.21,9159.03
Detached,3,T1,hybrid_bidirectional,best,4399.75,9074.67
Detached,4,T1,safe_unidirectional,worst,5147.22,5852.79
Detached,4,T1,safe_unidirectional,best,5087.33,5852.79
Detached,4,T1,hybrid_bidirectional,worst,3862.28,8173.19
Detached,4,T1,hybrid_bidirectional,best,3913.88,8284.93
Detached,5,T1,safe_unidirectional,worst,5514.84,6126.45
Detached,5,T1,safe_unidirectional,best,5430.95,6126.45
Detached,5,T1,hybrid_bidirectional,worst,4270.2,8665.39
Detached,5,T1,hybrid_bidirectional,best,4246.71,8718.92
Detached,6,T1,safe_unidirectional,worst,5468.26,6095.08
Detached,6,T1,safe_unidirectional,best,5405.49,6095.08
Detached,6,T1,hybrid_bidirectional,worst,4214.52,8483.06
Detached,6,T1,hybrid_bidirectional,best,3992.17,8352.82
Detached,7,T1,safe_unidirectional,worst,5698.14,6506.31
Detached,7,T1,safe_unidirectional,best,5571.51,6506.31
Detached,7,T1,hybrid_bidirectional,worst,4392.36,9108.89
Detached,7,T1,hybrid_bidirectional,best,4257.98,9110.37
Detached,8,T1,safe_unidirectional,worst,5245.71,5970.46
Detached,8,T1,safe_unidirectional,best,5137.12,5970.46
Detached,8,T1,hybrid_bidirectional,worst,3944.39,8202.55
Detached,8,T1,hybrid_bidirectional,best,3708.63,8068.12
Detached,9,T1,safe_unidirectional,worst,4880.91,5525.7
Detached,9,T1,safe_unidirectional,best,4820.28,5525.7
Detached,9,T1,hybrid_bidirectional,worst,3747.24,7659.36
Detached,9,T1,hybrid_bidirectional,best,3647.75,7640.37
Detached,10,T1,safe_unidirectional,worst,4548.77,5227.95
Detached,10,T1,safe_unidirectional,best,4452.55,5227.95
Detached,10,T1,hybrid_bidirectional,worst,3688.5,7398.87
Detached,10,T1,hybrid_bidirectional,best,3590.42,7397.63
Detached,11,T1,safe_unidirectional,worst,4615.64,5200.46
Detached,11,T1,safe_unidirectional,best,4528.93,5200.46
Detached,11,T1,hybrid_bidirectional,worst,3444.16,7273.2
Detached,11,T1,hybrid_bidirectional,best,3522.56,7455.24
Detached,12,T1,safe_unidirectional,worst,4953.26,5574.13
Detached,12,T1,safe_unidirectional,best,4842.69,5574.13
Detached,12,T1,hybrid_bidirectional,worst,3940.69,7958.16
Detached,12,T1,hybrid_bidirectional,best,3780.73,7883.42
Detached,13,T1,safe_unidirectional,worst,4627.86,5340.7
Detached,13,T1,safe_unidirectional,best,4550.68,5340.7
Detached,13,T1,hybrid_bidirectional,worst,3680.01,7634.95
Detached,13,T1,hybrid_bidirectional,best,3358.42,7419.86
Detached,14,T1,safe_unidirectional,worst,5533.59,6171.01
Detached,14,T1,safe_unidirectional,best,5460.87,6171.01
Detached,14,T1,hybrid_bidirectional,worst,4219.27,8862.39
Detached,14,T1,hybrid_bidirectional,best,4120.81,8847.1
Detached,15,T1,safe_unidirectional,worst,4730.24,5379.03
Detached,15,T1,safe_unidirectional,best,4669.74,5379.03
Detached,15,T1,hybrid_bidirectional,worst,3702.36,7535.14
Detached,15,T1,hybrid_bidirectional,best,3642.56,7543.04
Detached,16,T1,safe_unidirectional,worst,5817.53,6587.71
Detached,16,T1,safe_unidirectional,best,5723.93,6587.71
Detached,16,T1,hybrid_bidirectional,worst,4593.1,9460.15
Detached,16,T1,hybrid_bidirectional,best,4292.02,9268.49
Detached,17,T1,safe_unidirectional,worst,5631.39,6328.43
Detached,17,T1,safe_unidirectional,best,5554.22,6328.43
