Archetype,House number,WFH Type,Operation,Solar,Grid Import,Total Load
Detached,36,T2,hybrid_bidirectional,worst,4172.99,8057.32
Detached,36,T2,hybrid_bidirectional,best,3990.46,7958.9
Detached,37,T1,safe_unidirectional,worst,5300.23,5963.86
Detached,37,T1,safe_unidirectional,best,5213.51,5963.86
Detached,37,T1,hybrid_bidirectional,worst,4566.19,9036.34
Detached,37,T1,hybrid_bidirectional,best,4485.6,9035.1
Detached,37,T2,safe_unidirectional,worst,4781.35,5442.4
Detached,37,T2,safe_unidirectional,best,4700.68,5442.4
Detached,37,T2,hybrid_bidirectional,worst,3642.56,7776.61
Detached,37,T2,hybrid_bidirectional,best,3425.99,7672.02
Detached,38,T1,safe_unidirectional,worst,5888.19,6619.56
Detached,38,T1,safe_unidirectional,best,5756.4,6619.56
Detached,38,T1,hybrid_bidirectional,worst,5061.89,9382.97
Detached,38,T1,hybrid_bidirectional,best,4959.28,9396.04
Detached,38,T2,safe_unidirectional,worst,5371.85,6098.11
Detached,38,T2,safe_unidirectional,best,5249.39,6098.11
Detached,38,T2,hybrid_bidirectional,worst,4528.48,8597.83
Detached,38,T2,hybrid_bidirectional,best,4308.24,8486.09
Detached,39,T1,safe_unidirectional,worst,4929.21,5619.66
Detached,39,T1,safe_unidirectional,best,4835.63,5619.66
Detached,39,T1,hybrid_bidirectional,worst,4488.91,8546.12
Detached,39,T1,hybrid_bidirectional,best,4346.9,8500.48
Detached,39,T2,safe_unidirectional,worst,4406.68,5098.21
Detached,39,T2,safe_unidirectional,best,4325.61,5098.21
Detached,39,T2,hybrid_bidirectional,worst,3647.91,7487.67
Detached,39,T2,hybrid_bidirectional,best,3566.33,7498.28
Detached,40,T1,safe_unidirectional,worst,5611.39,6311.29
Detached,40,T1,safe_unidirectional,best,5525.85,6311.29
Detached,40,T1,hybrid_bidirectional,worst,4760.03,9262.16
Detached,40,T1,hybrid_bidirectional,best,4739.65,9326.29
Detached,40,T2,safe_unidirectional,worst,5090.3,5789.83
Detached,40,T2,safe_unidirectional,best,5018.56,5789.83
Detached,40,T2,hybrid_bidirectional,worst,4238.31,8247.87
Detached,40,T2,hybrid_bidirectional,best,4166.01,8277.47
Detached,41,T1,safe_unidirectional,worst,5883.06,6631.22
Detached,41,T1,safe_unidirectional,best,5791.57,6631.22
Detached,41,T1,hybrid_bidirectional,worst,4916.48,9767.1
Detached,41,T1,hybrid_bidirectional,best,4901.5,9849.24
Detached,41,T2,safe_unidirectional,worst,5357.45,6109.77
Detached,41,T2,safe_unidirectional,best,5277.05,6109.77
Detached,41,T2,hybrid_bidirectional,worst,4204.32,8702.48
Detached,41,T2,hybrid_bidirectional,best,4110.34,8692.86
Detached,42,T1,safe_unidirectional,worst,5371.83,5955.83
Detached,42,T1,safe_unidirectional,best,5289.56,5955.83
Detached,42,T1,hybrid_bidirectional,worst,4433.22,8779.18
Detached,42,T1,hybrid_bidirectional,best,4334.46,8767.34
Detached,42,T2,safe_unidirectional,worst,4853.14,5434.38
Detached,42,T2,safe_unidirectional,best,4780.07,5434.38
Detached,42,T2,hybrid_bidirectional,worst,3872.57,7864.05
Detached,42,T2,hybrid_bidirectional,best,3885.2,7941.99
Detached,43,T1,safe_unidirectional,worst,5335.83,5993.81
Detached,43,T1,safe_unidirectional,best,5270.11,5993.81
Detached,43,T1,hybrid_bidirectional,worst,4353.47,8680.5
Detached,43,T1,hybrid_bidirectional,best,4284.42,8671.13
Detached,43,T2,safe_unidirectional,worst,4815.55,5472.36
Detached,43,T2,safe_unidirectional,best,4762.52,5472.36
Detached,43,T2,hybrid_bidirectional,worst,3790.1,7794.48
Detached,43,T2,hybrid_bidirectional,best,3703.54,7778.69
Detached,44,T1,safe_unidirectional,worst,5658.54,6347.84
Detached,44,T1,safe_unidirectional,best,5599.92,6347.84
Detached,44,T1,hybrid_bidirectional,worst,4828.52,9211.89
Detached,44,T1,hybrid_bidirectional,best,4825.72,9262.21
Detached,44,T2,safe_unidirectional,worst,5140.2,5826.39
Detached,44,T2,safe_unidirectional,best,5093.19,5826.39
Detached,44,T2,hybrid_bidirectional,worst,4260.84,8111.26
Detached,44,T2,hybrid_bidirectional,best,4105.66,8012.35
Detached,45,T1,safe_unidirectional,worst,4652.89,5315.96
Detached,45,T1,safe_unidirectional,best,4566.7,5315.96
Detached,45,T1,hybrid_bidirectional,worst,4184.17,7965.16
Detached,45,T1,hybrid_bidirectional,best,4083.29,7948.38
Detached,45,T2,safe_unidirectional,worst,4130.78,4794.5
Detached,45,T2,safe_unidirectional,best,4055.6,4794.5
Detached,45,T2,hybrid_bidirectional,worst,3601.12,7179.03
Detached,45,T2,hybrid_bidirectional,best,3494.54,7122.79
Detached,46,T1,safe_unidirectional,worst,6037.73,6800.14
Detached,46,T1,safe_unidirectional,best,5915.87,6800.14
Detached,46,T1,hybrid_bidirectional,worst,4956.03,9460.19
Detached,46,T1,hybrid_bidirectional,best,4897.72,9526.3
Detached,46,T2,safe_unidirectional,worst,5517.74,6278.69
Detached,46,T2,safe_unidirectional,best,5406.96,6278.69
Detached,46,T2,hybrid_bidirectional,worst,4428.24,8559.61
Detached,46,T2,hybrid_bidirectional,best,4298.17,8543.58
Detached,47,T1,safe_unidirectional,worst,4950.74,5542.69
Detached,47,T1,safe_unidirectional,best,4869.09,5542.69
Detached,47,T1,hybrid_bidirectional,worst,4392.97,8387.25
Detached,47,T1,hybrid_bidirectional,best,4305.39,8382.07
Detached,47,T2,safe_unidirectional,worst,4432.04,5021.24
Detached,47,T2,safe_unidirectional,best,4359.91,5021.24
Detached,47,T2,hybrid_bidirectional,worst,3758.29,7395.9
Detached,47,T2,hybrid_bidirectional,best,3563.13,7278.49
Detached,48,T1,safe_unidirectional,worst,4747.23,5432.58
Detached,48,T1,safe_unidirectional,best,4661.04,5432.58
Detached,48,T1,hybrid_bidirectional,worst,4151.15,8137.04
Detached,48,T1,hybrid_bidirectional,best,3969.97,8042.56
Detached,48,T2,safe_unidirectional,worst,4224.92,4911.13
Detached,48,T2,safe_unidirectional,best,4149.35,4911.13
Detached,48,T2,hybrid_bidirectional,worst,3581.07,7300.34
Detached,48,T2,hybrid_bidirectional,best,3473.63,7260.88
Detached,49,T1,safe_unidirectional,worst,5048.75,5754.2
Detached,49,T1,safe_unidirectional,best,4961.64,5754.2
Detached,49,T1,hybrid_bidirectional,worst,4282.68,8008.98
Detached,49,T1,hybrid_bidirectional,best,4200.04,8012.43
Detached,49,T2,safe_unidirectional,worst,4529.27,5232.74
Detached,49,T2,safe_unidirectional,best,4454.09,5232.74
Detached,49,T2,hybrid_bidirectional,worst,3536.48,7283.78
Detached,49,T2,hybrid_bidirectional,best,3440.86,7271.94
Detached,50,T1,safe_unidirectional,worst,5479.56,6168.3
Detached,50,T1,safe_unidirectional,best,5399.44,6168.3
Detached,50,T1,hybrid_bidirectional,worst,4619.78,8799.98
Detached,50,T1,hybrid_bidirectional,best,4532.48,8799.24
Detached,50,T2,safe_unidirectional,worst,4960.76,5646.84
Detached,50,T2,safe_unidirectional,best,4890.38,5646.84
Detached,50,T2,hybrid_bidirectional,worst,4036.64,8041.24
Detached,50,T2,hybrid_bidirectional,best,3911.89,8010.65
Detached,51,T1,safe_unidirectional,worst,5097.38,5672.14
Detached,51,T1,safe_unidirectional,best,5014.17,5672.14
Detached,51,T1,hybrid_bidirectional,worst,4504.33,8519.17
Detached,51,T1,hybrid_bidirectional,best,4379.53,8477.97
Detached,51,T2,safe_unidirectional,worst,4580.2,5150.69
Detached,51,T2,safe_unidirectional,best,4507.85,5150.69
Detached,51,T2,hybrid_bidirectional,worst,3552.34,7235.02
Detached,51,T2,hybrid_bidirectional,best,3520.94,7272.27
Detached,52,T1,safe_unidirectional,worst,5293.32,5968.75
Detached,52,T1,safe_unidirectional,best,5169.84,5968.75
Detached,52,T1,hybrid_bidirectional,worst,4683.62,9002.26
Detached,52,T1,hybrid_bidirectional,best,4564.32,9013.36
Detached,52,T2,safe_unidirectional,worst,4775.81,5447.3
Detached,52,T2,safe_unidirectional,best,4661.91,5447.3
Detached,52,T2,hybrid_bidirectional,worst,4006.3,7946.53
Detached,52,T2,hybrid_bidirectional,best,3881.91,7932.47
Detached,53,T1,safe_unidirectional,worst,5564.4,6346.1
Detached,53,T1,safe_unidirectional,best,5474.1,6346.1
Detached,53,T1,hybrid_bidirectional,worst,4812.08,9030.08
Detached,53,T1,hybrid_bidirectional,best,4838.43,9119.87
Detached,53,T2,safe_unidirectional,worst,5042.15,5824.65
Detached,53,T2,safe_unidirectional,best,4965.25,5824.65
Detached,53,T2,hybrid_bidirectional,worst,4060.49,7992.11
Detached,53,T2,hybrid_bidirectional,best,3959.48,7988.41
Detached,54,T1,safe_unidirectional,worst,5284.78,5895.29
Detached,54,T1,safe_unidirectional,best,5232.47,5895.29
Detached,54,T1,hybrid_bidirectional,worst,4346.98,8691.75
Detached,54,T1,hybrid_bidirectional,best,4292.67,8687.55
Detached,54,T2,safe_unidirectional,worst,4765.6,5373.83
Detached,54,T2,safe_unidirectional,best,4724.71,5373.83
Detached,54,T2,hybrid_bidirectional,worst,3835.56,7773.9
Detached,54,T2,hybrid_bidirectional,best,3851.53,7838.77
Detached,55,T1,safe_unidirectional,worst,5081.39,5744.07
Detached,55,T1,safe_unidirectional,best,4977.38,5744.07
Detached,55,T1,hybrid_bidirectional,worst,4008.51,8149.32
Detached,55,T1,hybrid_bidirectional,best,4001.51,8247.99
Detached,55,T2,safe_unidirectional,worst,4558.3,5222.62
Detached,55,T2,safe_unidirectional,best,4465.91,5222.62
Detached,55,T2,hybrid_bidirectional,worst,3840.97,7503.05
Detached,55,T2,hybrid_bidirectional,best,3663.62,7437.69
